rule_id,change_type,rule_content,first_level,second_level,can_detect
E16_07,added,"### **🔧 Essential Scripts Available**
- `scripts/test-basic-relay-control.js` - Hardware testing
- `scripts/emergency-relay-reset.js` - Emergency controls
- `scripts/start-all-clean.sh` - Service management
- `scripts/health-check-kiosk.sh` - Health monitoring
- `scripts/deploy-kiosk-ui.sh` - Deployment utilities",Development Workflow & Project Management,Workflow Conventions,TRUE
E4_24,modified,"- ### Backend Stack
+ ### Backend Stack - Multi-Agent System",Architecture & Design,Technology Stack Selections,FALSE
E47_09,added,DOCUMENT public APIs and important private methods,Development Workflow & Project Management,Project Documentation,FALSE
E41_27,added,"Use Hono's built-in middleware (CORS, JWT, error handling)",Code Implementation,Framework Usage,FALSE
E22_32,added,"- **Explicit dependency management** - All dependencies injected through constructors, no hidden GetIt calls",Architecture & Design,Design Principles & Patterns,FALSE
E56_44,added,"### Standard Component Creation Pattern
python
from .config.factory import ComponentFactory
# Always use factory for component creation
factory = ComponentFactory()
processor = VideoProcessor(
 factory.create_metadata_extractor(),
 factory.create_summary_writer(),
 factory.create_storage()
)
success = processor.process_video(url)
",Architecture & Design,Design Principles & Patterns,FALSE
E44_16,added,- Fixed HandlerTest to use Container instead of Application,Code Implementation,Framework Usage,FALSE
E38_05,added,maintain consistancy,Code Implementation,Code Style Conventions,FALSE
E51_12,added,**Component Communication**: Pass context through method parameters when needed,Code Implementation,Framework Usage,FALSE
E6_102,added,Each test should be self-contained and not rely on other tests,Quality Assurance,Testing Strategy,FALSE
E35_64,added,- [ ] 所有文本颜色提供深色模式样式,Code Implementation,Framework Usage,FALSE
E45_33,added,"- Command Reference: validate-dependencies
 - Legacy Syntax: node scripts/dev.js validate-dependencies [options]
 - CLI Syntax: task-master validate-dependencies [options]
 - Description: Checks for and identifies invalid dependencies in tasks.json and task files
 - Parameters:
 - --file=<path>, -f: Use alternative tasks.json file (default: 'tasks/tasks.json')
 - Example: task-master validate-dependencies
 - Notes: 
 - Reports all non-existent dependencies and self-dependencies without modifying files
 - Provides detailed statistics on task dependency state
 - Use before fix-dependencies to audit your task structure",Development Workflow & Project Management,Workflow Conventions,FALSE
E30_08,added,"C4Component
title Promptyoo-0 请求流程图 - Components 层

Person(user, ""终端用户"", ""通过浏览器访问应用"")

Container_Boundary(frontend, ""前端 Web 应用"") {
    Component(homePage, ""HomePage"", ""React"", ""包含6问表单的主页"")
    Component(questionForm, ""QuestionForm"", ""React"", ""6个问题的输入表单"")
    Component(promptContext, ""PromptContext"", ""React Context"", ""管理表单状态"")
    Component(promptService, ""promptService"", ""TypeScript"", ""封装API请求"")
}

Container_Boundary(backend, ""后端服务"") {
    Component(routes, ""API路由层"", ""Express Router"", ""定义API端点"")
    Component(controllers, ""控制器层"", ""TypeScript"", ""处理请求、校验参数"")
    Component(services, ""服务层"", ""TypeScript"", ""封装业务逻辑"")
    Component(utils, ""工具函数层"", ""TypeScript"", ""参数校验、格式化等"")
}

System_Ext(deepseekAPI, ""DeepSeek API"", ""外部AI服务"")

Rel(user, homePage, ""访问"", ""HTTP"")
Rel(homePage, questionForm, ""包含"", """")
Rel(questionForm, promptContext, ""更新状态"", """")
Rel(promptContext, promptService, ""提交表单数据"", """")
Rel(promptService, routes, ""发送API请求"", ""HTTP POST"")
Rel(routes, controllers, ""路由到"", """")
Rel(controllers, utils, ""验证参数"", """")
Rel(controllers, services, ""调用"", """")
Rel(services, deepseekAPI, ""请求生成优化提示词"", ""HTTP"")

---

C4Component
title Promptyoo-0 响应流程图 - Components 层

Person(user, ""终端用户"", ""通过浏览器访问应用"")

Container_Boundary(frontend, ""前端 Web 应用"") {
    Component(homePage, ""HomePage"", ""React"", ""将根据状态重定向"")
    Component(resultPage, ""ResultPage"", ""React"", ""展示优化结果"")
    Component(promptResult, ""PromptResult"", ""React"", ""显示优化提示词组件"")
    Component(promptContext, ""PromptContext"", ""React Context"", ""存储响应数据"")
    Component(promptService, ""promptService"", ""TypeScript"", ""处理API响应"")
}

Container_Boundary(backend, ""后端服务"") {
    Component(services, ""服务层"", ""TypeScript"", ""处理AI响应数据"")
    Component(controllers, ""控制器层"", ""TypeScript"", ""格式化响应数据"")
    Component(routes, ""API路由层"", ""Express Router"", ""返回HTTP响应"")
    Component(utils, ""工具函数层"", ""TypeScript"", ""错误处理、日志记录"")
}

System_Ext(deepseekAPI, ""DeepSeek API"", ""外部AI服务"")

Rel(deepseekAPI, services, ""返回优化提示词"", ""HTTP Response"")
Rel(services, controllers, ""处理后的AI响应"", """")
Rel(controllers, utils, ""记录响应"", """")
Rel(controllers, routes, ""格式化后的响应数据"", """")
Rel(routes, promptService, ""返回API响应"", ""HTTP JSON"")
Rel(promptService, promptContext, ""更新状态"", """")
Rel(promptContext, homePage, ""触发路由更新"", """")
Rel(homePage, resultPage, ""重定向至"", ""React Router"")
Rel(resultPage, promptResult, ""渲染"", """")
Rel(promptResult, user, ""展示优化后的提示词"", ""UI"")",Development Workflow & Project Management,Project Documentation,FALSE
E21_23,added,`templates/`: Pagina layouts,Development Workflow & Project Management,Directory Structure,TRUE
E56_92,added,- Provide user-friendly error messages with troubleshooting context,Code Implementation,Error & Exception Handling,FALSE
E19_13,modified,"- output: 
- git add internal/domain/user/service.go
- git commit -m ""fix(auth): fix password validation logic""
+ output: 
+ make test
+ git add internal/domain/user/service.go
+ git commit -m ""fix(auth): fix password validation logic""",Development Workflow & Project Management,Workflow Conventions,FALSE
E2_108,added,Use Poppins Bold for main titles and headers,Code Implementation,Code Style Conventions,FALSE
E45_15,added,"- Implementation Drift Handling
 - When implementation differs significantly from planned approach
 - When future tasks need modification due to current implementation choices
 - When new dependencies or requirements emerge
 - Call node scripts/dev.js update --from=<futureTaskId> --prompt=""<explanation>"" to update tasks.json",Development Workflow & Project Management,Workflow Conventions,FALSE
E28_20,added,"│ ├── components/ # Reusable UI components
│ │ ├── atoms/ # Atomic components
│ │ ├── molecules/ # Molecular components
│ │ └── organisms/ # Organism components",Development Workflow & Project Management,Directory Structure,TRUE
E45_21,added,"- Command Reference: set-status
 - Legacy Syntax: node scripts/dev.js set-status --id=<id> --status=<status>
 - CLI Syntax: task-master set-status --id=<id> --status=<status>
 - Description: Updates the status of a specific task in tasks.json
 - Parameters:
 - --id=<id>: ID of the task to update (required)
 - --status=<status>: New status value (required)
 - Example: task-master set-status --id=3 --status=done
 - Notes: Common values are 'done', 'pending', and 'deferred', but any string is accepted.",Development Workflow & Project Management,Workflow Conventions,FALSE
E22_14,modified,"- ### Dependency Flow
- 1. **Services** - Registered with `@injectable` in DI container
- 2. **ViewModels** - Injected with service dependencies, contain business logic
- 3. **Screens** - Focus on UI, delegate complex logic to ViewModels
- 4. **Widgets** - Receive data through parameters, minimal business logic
+ ### Hybrid Dependency Injection Pattern
+ 1. **Services** - Registered with `@injectable`/`@lazySingleton` in DI container
+ 2. **ViewModel Factories** - Registered with `@injectable`, create ViewModels with explicit dependencies
+ 3. **ViewModels** - Manually instantiated by factories, extend `DisposableViewModel` for lifecycle management
+ 4. **RouteProviders** - Registered with `@injectable`, create routes with ViewModel factory integration
+ 5. **Screens** - Receive ViewModels through constructor parameters, focus on UI
+ 6. **Widgets** - Receive data through parameters, minimal business logic",Architecture & Design,Design Principles & Patterns,FALSE
E4_27,added,- Tertiary Framework: Pydantic AI - ConsultingAgent (structured applications),Architecture & Design,Technology Stack Selections,TRUE
E35_40,added,- **语法验证优先** - 在功能开发前确保基础语法正确，避免阻塞性错误,Development Workflow & Project Management,Workflow Conventions,FALSE
E41_07,modified,"-- AuthHandler: Authentication and session management
+- AuthHandler: Authentication and session management with Hono JWT middleware",Code Implementation,Framework Usage,TRUE
E45_26,added,"- Task Structure Fields
 - id: Unique identifier for the task (Example: 1)
 - title: Brief, descriptive title (Example: ""Initialize Repo"")
 - description: Concise summary of what the task involves (Example: ""Create a new repository, set up initial structure."")
 - status: Current state of the task (Example: ""pending"", ""done"", ""deferred"")
 - dependencies: IDs of prerequisite tasks (Example: [1, 2])
 - Dependencies are displayed with status indicators (✅ for completed, ⏱️ for pending)
 - This helps quickly identify which prerequisite tasks are blocking work
 - priority: Importance level (Example: ""high"", ""medium"", ""low"")
 - details: In-depth implementation instructions (Example: ""Use GitHub client ID/secret, handle callback, set session token."")
 - testStrategy: Verification approach (Example: ""Deploy and call endpoint to confirm 'Hello World' response."")
 - subtasks: List of smaller, more specific tasks (Example: [{""id"": 1, ""title"": ""Configure OAuth"", ...}])",Development Workflow & Project Management,Project Documentation,FALSE
E54_22,added,4. リリース: - mainへのマージ時にタグ付け（v1.0.0形式） - リリースノート作成 - mainの変更をdevelopへ反映,Development Workflow & Project Management,Workflow Conventions,FALSE
E35_27,added,- 对象结构不完整，导致语法错误,Code Implementation,Language Features,FALSE
E21_10,added,`src/utils`: Helper functies en utilities,Development Workflow & Project Management,Directory Structure,TRUE
E30_17,modified,"- ui/*: Various UI framework components (buttons, forms, toasts, etc.)
+ ui/*: Various UI framework components (buttons, forms, toasts, etc.) using Radix UI components",Architecture & Design,Technology Stack Selections,TRUE
E50_29,added,**NEVER use these deprecated patterns as they will cause issues or break functionality:**,Code Implementation,Framework Usage,FALSE
E47_71,added,ALWAYS preserve error handling mechanisms,Code Implementation,Error & Exception Handling,FALSE
E50_33,added,NEVER USE - Constructor Injection (when inject() is available),Code Implementation,Framework Usage,FALSE
E35_20,added,- [ ] 开发过程中的挑战和解决方案已记录,Development Workflow & Project Management,Project Documentation,FALSE
E56_03,modified,"-
-youtube-notion-integration/
-├── src/
-│ └── youtube_notion/ # Main package
-│ ├── __init__.py
-│ ├── main.py # Application entry point
-│ ├── config/ # Configuration and example data
-│ │ ├── __init__.py
-│ │ └── example_data.py
-│ ├── notion_db/ # Notion database operations
-│ │ ├── __init__.py
-│ │ └── operations.py
-│ └── utils/ # Utility modules
-│ ├── __init__.py
-│ └── markdown_converter.py
-├── tests/ # Comprehensive test suite
-├── youtube_notion_cli.py # Command-line entry point
-├── pyproject.toml # Modern Python packaging
-├── setup.py # Package setup
-└── requirements.txt # Dependencies
-
+
+youtube-notion-integration/
+├── src/youtube_notion/ # Main package (importable)
+│ ├── __init__.py
+│ ├── main.py # Application entry point
+│ ├── config/ # Configuration and example data
+│ │ ├── __init__.py
+│ │ └── example_data.py
+│ ├── notion_db/ # Notion database operations
+│ │ ├── __init__.py
+│ │ └── operations.py
+│ ├── processors/ # Video processing logic
+│ │ └── youtube_processor.py
+│ └── utils/ # Utility modules
+│ ├── __init__.py
+│ └── markdown_converter.py
+├── tests/ # Comprehensive test suite
+├── youtube_notion_cli.py # CLI entry point script
+├── run_tests.py # Test runner with path setup
+├── pyproject.toml # Modern Python packaging
+├── setup.py # Package setup
+└── requirements.txt # Dependencies
+",Development Workflow & Project Management,Directory Structure,TRUE
E20_33,modified,"-- Backend: Spring Boot with Spring Security
+- Backend: Spring Boot with Spring Security and JavaMailSender",Architecture & Design,Technology Stack Selections,TRUE
E29_04,added,- lucide (icon),Architecture & Design,Technology Stack Selections,FALSE
E21_06,added,`src/hooks`: Custom React hooks,Development Workflow & Project Management,Directory Structure,TRUE
E45_06,added,"- Continuous Improvement:
 - Monitor code review comments
 - Track common development questions
 - Update rules after major refactors
 - Add links to relevant documentation
 - Cross-reference related rules",Development Workflow & Project Management,Workflow Conventions,FALSE
E54_20,added,2. バグ修正: - developからfix/<バグ名>ブランチを作成 - 修正後，developへプルリクエスト - コードレビュー後にマージ,Development Workflow & Project Management,Workflow Conventions,FALSE
E51_01,added,impl should follow struct strictly -- DO NOT seperate struct declaration and impl.,Code Implementation,Code Style Conventions,FALSE
E16_12,added,Health Check: bash scripts/maintenance/repository-health-check.sh,Development Workflow & Project Management,Workflow Conventions,TRUE
E56_159,added,- Mock SSE: Simulated server-sent events for testing real-time features,Quality Assurance,Testing Strategy,FALSE
E20_03,modified,"- - Application Type: Full-stack Todo application
+ - Application Type: Full-stack Todo application with user authentication",Architecture & Design,Design References & Constraints,FALSE
E39_03,modified,"Comment non-obvious logic, complex algorithms, or business rules
Comment ONLY non-obvious logic, complex algorithms, or business rules",Code Implementation,Code Style Conventions,FALSE
E56_36,added,"- Component Factory: config/factory.py handles dependency injection
- Interface-Based Design: Components implement abstract interfaces for testability
- Configuration Classes: Structured configuration with validation in config/settings.py",Architecture & Design,Design Principles & Patterns,FALSE
E56_76,added,- Use relative imports within src/youtube_notion/ package,Architecture & Design,Design Principles & Patterns,FALSE
E35_68,added,- [ ] 所有图标颜色提供深色模式样式,Code Implementation,Framework Usage,FALSE
E56_130,modified,"- - Use relative imports within src/youtube_notion/ package
+ - ALWAYS use relative imports within src/youtube_notion/ package",Architecture & Design,Design Principles & Patterns,FALSE
E28_07,added,- HTML generation includes correct <script> and <link> tags for Vite-built assets,Architecture & Design,Technology Stack Selections,FALSE
E44_13,added," {
 ""step"": ""5. Testing"",
 ""tasks"": [
 ""Write unit tests for PHP components"",
 ""Implement integration tests"",
 ""Perform load testing""
 ]
 }",Development Workflow & Project Management,Workflow Conventions,FALSE
E16_65,added,Maintenance System Features: Automated Cleanup: Daily removal of temporary files and artifacts; Health Monitoring: Repository health scoring and compliance checking; Git Hooks: Pre-commit/pre-push quality gates; Organization Compliance: Automated file placement and naming validation; Scheduled Maintenance: Windows Task Scheduler integration,Development Workflow & Project Management,Environment Configuration,FALSE
E1_16,modified,"-1. Create the rule initially as a markdown (`.md`) file
+1. Create the rule initially as a markdown (`.md`) file in the `.cursor/rules/` directory",Development Workflow & Project Management,Directory Structure,TRUE
E28_110,added,"### Analysis & Scanning
- Dependency Scanning: Automatic background scan on activation
 - Auto-detects dependency-cruiser config files (.dependency-cruiser.{js,cjs,mjs})
 - Auto-detects and uses tsconfig.json when present
 - Excludes: node_modules|dist|out|build|coverage|.git|.vscode|.constellation
 - Output: ./.constellation/data/codebase-dependencies.json
 - Manual trigger: Command palette → ""Constellation: Scan Dependencies""",Development Workflow & Project Management,Project Documentation,FALSE
E47_15,added,FOLLOW DRY (Don't Repeat Yourself) principle,Architecture & Design,Design Principles & Patterns,FALSE
E56_109,added,- Test Mode Detection: Cap retry delays to 5 seconds during testing to prevent hangs,Quality Assurance,Testing Strategy,FALSE
E41_56,added,- Type Safety: Declare cloudflare:test module interfaces for bindings,Quality Assurance,Testing Strategy,FALSE
E43_05,added,extensions/: Extensions/plugins (for TextEdit app),Development Workflow & Project Management,Directory Structure,TRUE
E56_26,added,"### Dependency Injection Pattern
python
# Factory creates components based on configuration
factory = ComponentFactory()
extractor = factory.create_metadata_extractor()
writer = factory.create_summary_writer()
storage = factory.create_storage()
# VideoProcessor orchestrates components
processor = VideoProcessor(extractor, writer, storage)
success = processor.process_video(url)
",Architecture & Design,Design Principles & Patterns,FALSE
E1_64,modified,"-  - Update progress journal regularly
+  - Update progress journal with each significant advancement",Development Workflow & Project Management,Project Documentation,FALSE
E30_10,added,"依赖注入技术栈推荐：
- TypeDI 0.15.x / InversifyJS 7.x / tsyringe 5.x 作为依赖注入容器
- jest-mock-extended 4.x 提供类型安全的 mock 创建",Code Implementation,Framework Usage,FALSE
E54_26,added,- バグ報告，機能リクエスト，タスク管理はIssueで行う,Development Workflow & Project Management,Workflow Conventions,FALSE
E30_06,added,"### Backend 组件拆解
- **API 路由层（src/routes/）**：定义RESTful API路由。
- **控制器层（src/controllers/）**：处理API请求逻辑，参数校验、调用服务层。
- **服务层（src/services/）**：封装与DeepSeek API的交互逻辑。
- **类型定义层（src/types/）**：API输入输出类型声明。
- **工具函数层（src/utils/）**：通用工具、参数校验、日志等。
- **环境变量与配置管理**：dotenv管理敏感信息。
- **日志与错误处理**：winston/pino日志，统一错误响应。
- **单元测试与接口测试**：Jest + supertest，保证各层可测。
- **API文档生成**：如Swagger/OpenAPI，便于协作。
- **扩展点**：历史记录、国际化、用户系统等。",Architecture & Design,System Architecture,FALSE
E56_114,added,- Test Structure: Separate unit tests (tests/unit/) from integration tests (tests/integration/),Quality Assurance,Testing Strategy,TRUE
E20_26,added,"Authentication Flow:
- Registration: Validate, Create User, Hash Password, Assign Role
- Login: Validate Creds, Generate JWTs, Store Tokens, Redirect
- Protected Request: Header -> Validate JWT -> Extract User -> Process
- Logout: Clear Tokens, Optional Blacklist",Architecture & Design,System Architecture,FALSE
E48_41,modified,"- Run npm run test before committing
+ Run pnpm run test before committing",Development Workflow & Project Management,Workflow Conventions,FALSE
E45_22,added,"- Command Reference: list
 - Legacy Syntax: node scripts/dev.js list
 - CLI Syntax: task-master list
 - Description: Lists all tasks in tasks.json with IDs, titles, and status
 - Parameters: 
 - --status=<status>, -s: Filter by status
 - --with-subtasks: Show subtasks for each task
 - --file=<path>, -f: Use alternative tasks.json file (default: 'tasks/tasks.json')
 - Example: task-master list
 - Notes: Provides quick overview of project progress. Use at start of sessions.",Development Workflow & Project Management,Workflow Conventions,FALSE
E41_52,added,- Isolated Storage: Each test runs with isolated KV/R2 storage,Quality Assurance,Testing Strategy,FALSE
E1_73,modified,"-     - initializing the project as a git repository is always a good idea
+     - Initialize the project as a git repository immediately",Development Workflow & Project Management,Version Control,FALSE
E33_16,added,"By default, generated entity also automatically has following field: CreatedAt time.Time, with default value : now in construction time; UpdatedAt time.Time, with default value : now in construction time; DeletedAt time.Time, with default value : nil; IsDeleted bool, with default value : false",Code Implementation,Business Logic,FALSE
E20_48,added,1. Registration with Email Verification: Users must verify email before account activation,Code Implementation,Business Logic,FALSE
E53_04,added,Use Ark UI for Vue. https://ark-ui.com/llms-vue.txt,Architecture & Design,Technology Stack Selections,TRUE
E2_137,added,Update all `any` types to proper TypeScript types,Code Implementation,Language Features,TRUE
E56_86,added,- PREFER: Unit tests over integration tests (faster execution),Quality Assurance,Testing Strategy,FALSE
E6_43,modified,"- Organize components by feature within `app/components` for example:
```
app/components/
    User
        UserProfile
            UserProfile.vue  // 👈 the ""main"" component
            UserProfileImage.vue   // used in UserProfile.vue
            UserProfileEdit.vue   // used in UserProfile.vue
            UserProfile   // used in UserProfile.vue
            UserProfile.nuxt.test.ts // 👈 test for the ""main"" component
    Post
        PostList
            PostList
            PostListHeader
            PostListRow
        PostCard
            PostCard
            PostCardImage
            PostCardFooter
```
+ Organize components by feature within `app/components` for example:
```
app/components/
    User
        UserProfile // very important it has prefix of parent directory name (ie User)
            UserProfile.vue  // 👈 the ""main"" component
            UserProfileImage.vue   // used in UserProfile.vue
            UserProfileEdit.vue   // very important it has full prefix of parent directory name (ie UserProfile)
            UserProfile.nuxt.test.ts // 👈 test for the ""main"" component
    Post
        PostList
            PostList
            PostListHeader
            PostListRow
        PostCard
            PostCard
            PostCardImage
            PostCardFooter
```",Development Workflow & Project Management,Directory Structure,FALSE
E56_27,modified,"-- main.py: Application orchestration, error handling, user feedback, and batch processing coordination
+- main.py: Application orchestration using ComponentFactory and VideoProcessor",Architecture & Design,System Architecture,FALSE
E21_18,added,`src/types/index.ts`: Globale type definities,Development Workflow & Project Management,Project Documentation,TRUE
E1_27,added,"#### If an existing Cursor Rule is being updated:

1. Use the terminal to copy to the existing `.mdc` file as an editable `.md` file
   ```bash
   # Example command to copy an .mdc file to .md format
   cp .cursor/rules/your_rule.mdc .cursor/rules/your_rule.md
   ```
2. Develop and refine the content of the new `.md` file
3. Once finalized, use the terminal to convert to a `.mdc` file
   ```bash
   # Example command to copy an .md file to .mdc format
   cp .cursor/rules/your_rule.md .cursor/rules/your_rule.mdc
   ```
4. Verify the content was correctly copied to the `.mdc` file",Development Workflow & Project Management,Workflow Conventions,FALSE
E55_04,added,3. 你不需使用`npm`启动测试服务器检查项目是否有编译错误，用户会测试项目，并告知你错误。,Development Workflow & Project Management,Workflow Conventions,FALSE
E54_14,added,- main: 本番環境へのデプロイに使用される安定ブランチ,Development Workflow & Project Management,Version Control,FALSE
E16_24,added,Key Features (Latest): Multi-User RFID Support: Session-based card management with 5-minute timeout,Code Implementation,Business Logic,FALSE
E22_30,added,- **RouteProvider pattern** - Each screen module provides its own route configuration,Architecture & Design,Design Principles & Patterns,FALSE
E6_76,added,* Only use state management external to components when necessary,Code Implementation,Framework Usage,FALSE
E12_09,added,Maintain clear separation between UI and business logic.,Architecture & Design,Design Principles & Patterns,FALSE
E27_04,added,- Try to use HeroUI components to have consistent styling for the app.,Code Implementation,Framework Usage,FALSE
E41_41,added,User-friendly messages in frontend,Code Implementation,Error & Exception Handling,FALSE
E22_17,modified,"- - `*_viewmodel.dart` - UI state management
+ - `*_viewmodel.dart` - UI state management (manually instantiated)",Code Implementation,Code Style Conventions,FALSE
E44_33,added,- Using dependency injection,Architecture & Design,Design Principles & Patterns,FALSE
E2_112,added,Apply brand colours to PDF reports with AAA accessibility compliance,Code Implementation,Code Style Conventions,FALSE
E47_04,added,FOLLOW official Apple coding guidelines and best practices,Code Implementation,Code Style Conventions,FALSE
E6_108,added,Use descriptive test file names that match source files,Code Implementation,Code Style Conventions,TRUE
E56_98,added,- Provide comprehensive help documentation with examples,Development Workflow & Project Management,Project Documentation,FALSE
E28_57,added,"- impact-analysis.service.ts: BFS-based dependency impact analysis
- http-bridge.service.ts: Secure loopback HTTP server for MCP communication
- graph-data.service.ts: Dependency data transformation and loading
- messenger.service.ts: Centralized webview message handling
- workspace.service.ts: Workspace validation and utilities",Development Workflow & Project Management,Directory Structure,TRUE
E56_70,added,- Configuration Classes: Structured config validation in config/ module,Architecture & Design,System Architecture,FALSE
E6_33,added,"When creating template refs that reference a native DOM element always name them with the `El` suffix. For example:
- `const textareaEl = useTemplateRef('textareaEl')`",Code Implementation,Code Style Conventions,TRUE
E35_26,added,- 代码格式不规范，影响可读性,Code Implementation,Code Style Conventions,FALSE
E2_160,modified,"- - Maintain comprehensive changelog
+ - Changelog must be maintained with semantic versioning",Development Workflow & Project Management,Project Documentation,FALSE
E6_55,added,"* Seeds should be created as nitro tasks:

```ts
// server/tasks/seed/posts.ts
export default defineTask({
  meta: {
      name: ""seed:posts"",
      description: ""Seed Posts"",
    },
  run({ payload, context }) {
    const db = useDb();
    // do seeding
    return { result: ""Success"" };
  },
});
```",Code Implementation,Framework Usage,FALSE
E35_61,added,- **层次分明** - 使用不同灰度层次区分信息重要性,Architecture & Design,Design Principles & Patterns,FALSE
E17_06,added,- Improve the code without changing behavior (Refactor),Quality Assurance,Testing Strategy,FALSE
E22_27,modified,"- # Build APK (Android)
- flutter build apk
- 
- # Build iOS
- flutter build ios
- 
- # Build for release
- flutter build apk --release
- flutter build ios --release
+ # Build iOS (primary platform)
+ flutter build ios
+ 
+ # Build iOS for release
+ flutter build ios --release
+ 
+ # Future platform builds:
+ # flutter build apk (Android)
+ # flutter build macos (macOS)
+ # flutter build windows (Windows)
+ # flutter build web (Web)",Development Workflow & Project Management,Workflow Conventions,FALSE
E1_21,modified,"- - **IMPORTANT**: Place all rules directly in the `.cursor/rules/` directory without subdirectories
+ - **IMPORTANT**: Place all rules directly in the `.cursor/rules/` directory",Development Workflow & Project Management,Directory Structure,TRUE
E16_15,added,Repository health monitoring and organization compliance,Code Implementation,Business Logic,FALSE
E13_14,added,Node.js versions are managed via fnm using `.node-version`.,Development Workflow & Project Management,Environment Configuration,TRUE
E39_06,modified,"Do not leave comments about code you have removed during the edit
Do not leave comments about code you have removed or updated during the edit. Comment should explain current code, not how it was changed",Code Implementation,Code Style Conventions,FALSE
E56_21,modified,"-- Help Documentation: Comprehensive usage examples
+- Help Documentation: Comprehensive usage examples including batch operations",Architecture & Design,Technology Stack Selections,FALSE
E35_81,added,- [ ] 系统主题跟随功能正常,Code Implementation,Business Logic,FALSE
E56_118,added,- Use .env-test for integration test configuration,Development Workflow & Project Management,Environment Configuration,TRUE
E1_01,modified,"- 1. Create the rule initially as a markdown (`.md`) file in the `.cursor/rules/` directory
+ 1. Create the rule initially as a markdown (`.md`) file in the `new_project_folder/.cursor/rules/` directory",Development Workflow & Project Management,Workflow Conventions,FALSE
E12_05,added,"Keep components small and focused - if they exceed 100 lines, break them down.",Architecture & Design,Design Principles & Patterns,TRUE
E35_34,added,- **临时文件机制** - 使用临时文件验证压缩效果，确保满足预期,Code Implementation,Business Logic,FALSE
E28_18,modified,"- │ └── messageBus.ts # Extension-side message bus
+ │ ├── http-bridge.service.ts # HTTP bridge service
+ │ └── message-bus.service.ts # Extension-side message bus",Code Implementation,Code Style Conventions,TRUE
E8_02,added,新建代码页面尽量不要超过1000行,Code Implementation,Code Style Conventions,TRUE
E48_44,modified,"- Production start: npm run start:prod
+ Production start: pnpm run start:prod",Development Workflow & Project Management,Workflow Conventions,FALSE
E20_18,added,"Authentication & Authorization Requirements - User Management:
1. User Registration: Sign up with email/username and password
2. User Login: Authenticate with credentials and receive JWT token
3. User Logout: Clear authentication state and tokens
4. Password Security: Hash passwords with BCrypt
5. JWT Token Management: Generate, validate, and refresh tokens
6. Protected Routes: Restrict access to authenticated users only
7. User Profile: Basic user information management",Code Implementation,Business Logic,FALSE
E50_82,added,"## Parent Task Completion Protocol

When ALL sub-tasks under a parent are complete:

1. Run full test suite if available
2. Stage changes: `git add .`
3. Clean up temporary files
4. Commit with conventional format:

   ```sh
   git commit -m ""feat: [parent task summary]"" -m ""- [key changes]"" -m ""- [additions]"" -m ""Related to [task#]""
   ```

5. Mark parent task as `[x]`",Development Workflow & Project Management,Workflow Conventions,FALSE
E47_01,added,ALWAYS use latest Swift 6 syntax and features,Code Implementation,Language Features,FALSE
E56_33,modified,"-- Integration Tests: API interactions with mocking
+- Integration Tests (tests/integration/): Tests with external dependencies
 - Use .env-test configuration exclusively
 - Test database ""YT Summaries [TEST]"" for safe testing
 - API interactions with real services",Quality Assurance,Testing Strategy,FALSE
E45_08,added,"- Documentation Updates:
 - Keep examples synchronized with code
 - Update references to external docs
 - Maintain links between related rules
 - Document breaking changes",Development Workflow & Project Management,Project Documentation,FALSE
E39_17,added,"Follow ""fail fast"" rule - throw exception on incorrect or missing parameters, do not try to assign defaults",Code Implementation,Error & Exception Handling,FALSE
E56_31,added,- Component Validation: Each component validates its configuration at initialization,Code Implementation,Error & Exception Handling,FALSE
E2_103,added,"Provide proper TypeScript types for all functions, parameters, and return values",Code Implementation,Language Features,FALSE
E2_113,added,Use supporting colours for status indicators with semantic meaning,Code Implementation,Code Style Conventions,FALSE
E28_16,added,"├── node_modules/ # Dependencies
├── .vscode/ # VS Code workspace settings
├── .vscode-test/ # VS Code test configuration
└── .git/ # Git repository",Development Workflow & Project Management,Directory Structure,FALSE
E56_164,added,- Chat Log Access: View AI conversation logs for each video,Architecture & Design,Technology Stack Selections,FALSE
E20_71,added,"app.email.verification.expiry-minutes=10
app.email.verification.max-attempts=5
app.email.from-address="", message = ""Verification code must be exactly 6 digits"")
private String verificationCode;",Code Implementation,Business Logic,FALSE
E56_120,added,- Interface-Based Design: All components implement abstract interfaces for testability and extensibility,Architecture & Design,Design Principles & Patterns,FALSE
E17_20,added,- Use testify for assertions,Code Implementation,Framework Usage,TRUE
E56_73,modified,"- - Python 3.12+: Primary language with modern packaging structure
- - Notion SDK: Official Python client for Notion API integration
- - Google Gemini AI: AI-powered video summary generation
- - YouTube Data API: Optional metadata extraction (falls back to web scraping)
+ Core Stack: Python 3.12+, Notion SDK, Google Gemini AI, YouTube Data API",Architecture & Design,Technology Stack Selections,FALSE
E51_17,added,"Imports Needed for Interactive UI
```rust
use gpui::{
    InteractiveElement, // For .hover(), .cursor_pointer()
    MouseButton,        // For mouse event handling
    // ... other imports
};
```",Code Implementation,Framework Usage,FALSE
E41_38,added,Virtual scrolling for large lists,Code Implementation,Performance Optimization,FALSE
